route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
435-5065,435,"Brookfield - City Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/435,E463A4,1D1D1D
435-5146,435,"Brookfield - City Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/435,E463A4,1D1D1D
443-4948,443,"Moggil - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/443,E463A4,1D1D1D
443-5065,443,"Moggil - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/443,E463A4,1D1D1D
443-5146,443,"Moggil - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/443,E463A4,1D1D1D
444-4948,444,"Moggill - City Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/444,E463A4,1D1D1D
444-5065,444,"Moggill - City Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/444,E463A4,1D1D1D
444-5146,444,"Moggill - City Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/444,E463A4,1D1D1D
445-4948,445,"Fig Tree Pocket - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/445,E463A4,1D1D1D
445-5065,445,"Fig Tree Pocket - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/445,E463A4,1D1D1D
445-5146,445,"Fig Tree Pocket - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/445,E463A4,1D1D1D
446-4948,446,"Kenmore - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/446,E463A4,1D1D1D
446-5065,446,"Kenmore - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/446,E463A4,1D1D1D
446-5146,446,"Kenmore - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/446,E463A4,1D1D1D
450-4948,450,"Riverhills - City Express via Mt Ommaney",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/450,E463A4,1D1D1D
450-5065,450,"Riverhills - City Express via Mt Ommaney",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/450,E463A4,1D1D1D
450-5146,450,"Riverhills - City Express via Mt Ommaney",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/450,E463A4,1D1D1D
451-4948,451,"Sinnamon Park - Darra Station",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/451,E463A4,1D1D1D
451-5065,451,"Sinnamon Park - Darra Station",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/451,E463A4,1D1D1D
451-5146,451,"Sinnamon Park - Darra Station",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/451,E463A4,1D1D1D
